"","hsCodeId","panjivaRecordId","hsCode"
"564",27724878,186261307,""
"565",27724879,186261317,""
"566",27724880,186261387,""
"567",27724881,186261437,""
"568",27724882,186262387,""
"569",27724883,186262477,""
"570",27724884,186262687,""
"571",27724885,186263337,""
"572",27724887,186264187,""
"573",27724888,186264267,""
"574",27724889,186265047,""
"575",27724890,186266227,""
"576",27724891,186268017,""
"577",27724892,186268697,""
"578",27724894,186269797,""
"579",27724896,186272737,""
"580",27724898,186273447,""
"581",27724899,186274537,""
"582",27724900,186274877,""
"583",27724901,186274907,""
"584",27724903,186275137,""
"585",27724904,186275557,""
"586",27724905,186276007,""
"587",27724909,186278007,""
"588",27724910,186278557,""
"589",27724911,186278767,""
"590",27724913,186279697,""
"591",27724914,186279827,""
"592",27724915,186280007,""
"593",27724916,186280117,""
"594",27724918,186281567,""
"595",27724920,186282267,""
"596",27724921,186283837,""
"597",27724922,186284637,""
"598",27724923,186284847,""
"599",27724924,186285857,""
"600",27724926,186287047,""
"601",27724928,186288297,""
"602",27724929,186288647,""
"603",27724930,186288667,""
"604",27724931,186288677,""
"605",27724932,186289097,""
"606",27724935,186290867,""
"607",27724937,186291967,""
"608",27724938,186292247,""
"609",27724939,186292767,""
"610",27724941,186293137,""
"611",27724943,186294527,""
"612",27724945,186295157,""
"613",21451108,184102975,""
"614",21451109,184102985,"9304.00"
"615",21451110,184103005,"3204.12"
"616",21451113,184103035,"6802.91"
"617",21451114,184103045,"9404.10"
"618",27724947,186295957,""
"619",21451116,184103065,"3503.00"
"620",21451118,184103085,"9403.70"
"621",27724948,186296197,""
"622",27724949,186296387,""
"623",21451122,184103125,"9619.00"
"624",27724950,186296457,""
"625",27724951,186296787,""
"626",21451126,184103175,"6810.19"
"627",27724952,186296867,""
"628",21451130,184103215,""
"629",21451131,184103225,"6204.32"
"630",21451132,184103235,"6204.43"
"631",21451133,184103245,"6403.99"
"632",27724954,186298387,""
"633",21451136,184103275,"8414.80"
"634",21451139,184103355,"0801.32"
"635",21451140,184103365,"9401.61"
"636",21451141,184103385,"8803.30"
"637",21451144,184103435,"7009.91; 9403.60; 9403.90"
"638",27724955,186298707,""
"639",21451146,184103485,"9404.90"
"640",21451147,184103505,"9503.00"
"641",21451151,184103565,""
"642",27724957,186231831,""
"643",21451156,184103625,"8427.20"
"644",27724959,186233731,""
"645",21451158,184103665,"9403.60"
"646",21451163,184103725,"6115.21"
"647",21451164,184103735,"4011.10"
"648",21451165,184103745,"8415.90"
"649",21451166,184103755,"8534.00"
"650",21451167,184103765,"3926.90; 9401.20"
"651",21451169,184103795,"3926.90; 9401.20"
"652",21451170,184103805,""
"653",27724960,186234611,""
"654",21451175,184103855,"8708.99"
"655",21451177,184103885,"7326.90"
"656",21451178,184103895,""
"657",21451179,184103905,"2208.30"
"658",21451180,184103925,"8803.30"
"659",21451183,184103955,"9503.00; 9506.91"
"660",21451184,184103965,"5407.20"
"661",21451185,184103975,""
"662",27724962,186235851,""
"663",21451188,184104015,"4202.92"
"664",27724963,186237001,""
"665",21451190,184104045,""
"666",21451192,184104065,"8424.89"
"667",21451193,184104075,"5801.36"
"668",21451194,184104085,"4202.12"
"669",21451196,184104105,"3902.10"
"670",21451197,184104115,"3923.90"
"671",27724965,186237391,""
"672",21451200,184104155,"8544.49"
"673",21451201,184104165,"3918.10"
"674",21451203,184104215,"8311.20"
"675",21451204,184104225,"6908.90"
"676",21451205,184104235,"6908.90"
"677",21451206,184104245,"6908.90"
"678",21451207,184104255,"7016.10"
"679",21451208,184104265,"6908.90"
"680",21451209,184104285,"4409.10"
"681",21451212,184104315,""
"682",21451213,184104325,"3304.99"
"683",21451214,184104335,"3304.99"
"684",21451215,184104345,"8411.99"
"685",21451218,184104385,"6802.91"
"686",21451219,184104395,"2208.90"
"687",27724967,186238951,""
"688",27724968,186241181,""
"689",21451223,184104445,"0801.11"
"690",27724969,186241761,""
"691",21451225,184104525,"4703.21"
"692",21451226,184104535,"7017.20"
"693",21451228,184104665,"9401.79"
"694",21451230,184104685,"8509.40"
"695",21451231,184104705,"8503.00"
"696",21451234,184104735,"2401.20"
"697",21451235,184104745,""
"698",21451236,184104755,"9022.90.80"
"699",21451238,184104775,"9401.80.00"
"700",21451239,184104785,"5407.51; 5903.20"
"701",21451241,184104805,"8419.50; 8419.90.85"
"702",21451242,184104815,"3206.49; 9603.30; 9603.50"
"703",21451243,184104825,""
"704",27724970,186241791,""
"705",21451245,184104845,"4009.21.00; 4009.22.00; 4009.32.00; 4016.93.00; 7307.92.90; 7307.99.10; 7318.24.00; 7318.29.00; 8431.49; 8484.20.00; 8484.90.00; 9026.90.00"
"706",21451246,184104855,""
"707",21451247,184104865,"1509.90"
"708",27724971,186242461,""
"709",27724972,186242991,""
"710",21451251,184104935,"8708.30"
"711",21451252,184104945,""
"712",21451253,184104955,"8413.91"
"713",21451254,184104965,"6201.92"
"714",21451255,184104975,""
"715",27724973,186243231,""
"716",21451257,184105015,""
"717",21451260,184105055,"2204.21"
"718",27724975,186243491,""
"719",27724976,186243561,""
"720",21451265,184105105,"7304.41"
"721",21451267,184105125,"9403.60"
"722",21451269,184105145,"9023.00"
"723",21451271,184105175,"5911.90"
"724",21451273,184105195,"8481.90"
"725",21451274,184105205,"0801.11"
"726",21451276,184105235,"9503.00"
"727",21451278,184105275,"9403.20"
"728",21451279,184105295,""
"729",21451280,184105305,""
"730",21451283,184105335,""
"731",21451284,184105345,""
"732",21451285,184105355,""
"733",21451292,184105425,""
"734",21451293,184105445,""
"735",21451294,184105465,"1704.90"
"736",21451295,184105495,"8716.90"
"737",21451296,184105515,"8504.34; 8517.62"
"738",21451297,184105525,"9503.00"
"739",21451298,184105535,""
"740",21451299,184105555,""
"741",27724980,186246841,""
"742",21451301,184105615,"6110.20"
"743",21451302,184148838,"4016.99"
"744",27724981,186246861,""
"745",21451305,184105675,"2933.69"
"746",21451306,184105685,"6810.19"
"747",21451307,184105705,"3924.10"
"748",21451308,184105725,"6110.30"
"749",27724982,186247711,""
"750",21451318,184106015,"6403.91; 6403.99"
"751",21451319,184106035,"7308.40"
"752",21451320,184106045,"6406.90"
"753",21451321,184106055,""
"754",21451322,184106065,""
"755",21451324,184106085,"2204.21"
"756",21451327,184106115,"3924.90"
"757",21451330,184106195,"7016.10"
"758",21451331,184106215,"7010.90"
"759",21451332,184106225,"2201.10"
"760",21451333,184106235,"2201.10"
"761",21451334,184106255,"8481.80"
"762",21451336,184106285,"2204.29"
"763",21451337,184106315,"1902.19"
"764",21451339,184106345,"2204.10"
"765",21451340,184106365,"8507.20"
"766",21451341,184106375,"8504.31"
"767",21451342,184106385,"8504.31"
"768",21451343,184106405,""
"769",21451344,184106415,"9401.61"
"770",21451345,184106425,"7312.10"
"771",21451346,184106435,"8518.29"
"772",27724988,186252961,""
"773",27724989,186254241,""
"774",27724990,186255591,""
"775",27724991,186257511,""
"776",27724992,186258011,""
"777",27724993,186258781,""
"778",27724994,186259051,""
"779",27724996,186260381,""
"780",27724997,186260931,""
"781",27724998,186261301,""
"782",27724999,186261401,""
"783",27725002,186262181,""
"784",27725003,186262661,""
"785",27725004,186263121,""
"786",27725005,186263981,""
"787",27725007,186264251,""
"788",27725009,186264491,""
"789",27725010,186265511,""
"790",27725011,186266441,""
"791",27725012,186266941,""
"792",27725015,186268331,""
"793",27725017,186269491,""
"794",27725019,186271271,""
"795",27725022,186273491,""
"796",27725023,186274071,""
"797",27725026,186274741,""
"798",27725029,186277511,""
"799",27725030,186277941,""
"800",27725032,186279711,""
"801",27725033,186280031,""
"802",27725034,186280121,""
"803",27725036,186280811,""
"804",27725037,186281431,""
"805",27725038,186283051,""
"806",27725040,186286731,""
"807",27725043,186288631,""
"808",27725044,186288671,""
"809",27725046,186290421,""
"810",27725047,186290731,""
"811",27725049,186291201,""
"812",27725051,186291861,""
"813",27725053,186293911,""
"814",27725054,186294581,""
"815",27725056,186295951,""
"816",27725057,186296241,""
"817",27725058,186296761,""
"818",27725059,186296781,""
"819",27725061,186297741,""
"820",27725062,186298731,""
"821",27725063,186231852,""
"822",27725064,186233472,""
"823",21451348,184106455,"9401.61"
"824",21451350,184106515,"8302.42"
"825",21451351,184106525,"4202.92"
"826",21451353,184106545,""
"827",21451355,184106565,"8418.10"
"828",21451358,184106595,"3926.90"
"829",21451359,184106615,"6103.43"
"830",21451360,184106635,""
"831",21451361,184106645,"3401.11"
"832",27725065,186233672,""
"833",21451364,184106735,"9401.61"
"834",21451365,184106745,""
"835",21451366,184106755,""
"836",21451368,184106775,"9506.39"
"837",21451369,184106785,"6908.90"
"838",21451370,184106795,""
"839",21451372,184106825,""
