"","hsCodeId","panjivaRecordId","hsCode"
"178",1178665,32704203,"870323; 871499; 8703.23,8703.23,8714.99,8703.23,8703.23"
"179",3200606,34427093,"; [""Classified: 3923.21""]"
"180",3200607,34427133,"; [""Classified: 2009.89""]"
"181",3200608,34427153,"; [""Classified: 3924.90""]"
"182",3200609,34427253,"; [""Classified: 0203.29; Parsed: 0806.10""]"
"183",3200722,34354823,"Classified: 3506.91; Parsed: 3506.99"
"184",3200723,34355003,"Parsed: 6309.00.00.00"
"185",1178670,32704343,"870323; 871150; 8703.23,8703.23,8703.23,8703.23,8711.50 8703.23"
"186",3200724,34355023,"Parsed: 6309.00.00.00"
"187",3200725,34354943,"Parsed: 4707.90.00; Parsed: 4707.90; Parsed: 4707.90; Parsed: 4707.90; Parsed: 4707.90; Parsed: 4707.90; Parsed: 4707.90; Parsed: 4707.90"
"188",1178673,32704443,""
"189",3200726,34354983,"Parsed: 6309.00.00.00"
"190",3200727,34354783,"Classified: 8703.23; Parsed: 9018.12"
"191",3200728,38745623,"Classified: 3304.99"
"192",1178677,32704563,"6309000000; 6309.00.00.00"
"193",1178678,32704643,"870323; 870360; 8703.23 8703.60,8703.23 8703.60,8703.23 8703.60,8703.23 8703.60"
"194",3200729,34419763,"; [""Classified: 2303.30""]"
"195",3200730,34420023,"; [""Classified: 8708.99""]"
"196",1178682,32704783,"0802510000; 080251; 0802.51.00.00, 0802.51"
"197",1178683,32704763,"870323; 8703.23,8703.23,8703.23,8703.23,8703.23"
"198",3200731,34419843,"; [""Parsed: 1902.19.20.00""]"
"199",3200732,34420003,"; ; ; ; ; [""Parsed: 1201.90.00.95""]"
"200",1178686,32704663,"870323; 8703.23,8703.23,8703.23,8703.23"
"201",3200733,34425183,"; ; ; ; ; [""Classified: 3907.20; Parsed: 3907.69""]"
"202",1178688,32704583,"870323; 871150; 8703.23,8703.23,8703.23,8711.50 8703.23,8711.50 8703.23,8711.50 8703.23,8711.50 8703.23"
"203",3200734,34425203,"; [""Parsed: 0802.11.00.00""]"
